player_id,player,club,league,nationality,age,position,foot,height_cm,matches,minutes,market_value_m,performance_score,goals90,assists90,xg90,xa90,prog_pass90,prog_carry90,key_pass90,passes_final_third90,tackles90,interceptions90,recoveries90,duel_win_pct,aerial_win_pct,dribbles90,shots90,pressures90,turnovers90
34,André López,Fortaleza,Brasil Série A,Argentina,29,W,Direito,176,7,529,2.21,62.3,0.31,0.11,0.25,0.1,3.48,2.42,1.08,4.53,0.38,0.73,1.83,51.2,44.5,2.16,0.61,3.69,3.61
35,Juan Fernández,Avaí,Brasil Série B,Brasil,23,DM,Direito,186,11,799,0.52,47.2,0.15,0.17,0.12,0.17,3.63,2.98,1.06,4.31,2.05,1.76,4.04,58.3,51.6,0.33,0.65,4.18,3.45
36,Rafael Pereira,Coritiba,Brasil Série B,Paraguai,32,W,Direito,175,26,2192,1.16,62.3,0.36,0.16,0.34,0.17,5.16,2.82,1.23,4.44,1.11,0.61,1.32,46.1,44.2,2.25,1.31,3.9,4.79
37,Nicolás Ramírez,Cuiabá,Brasil Série B,Uruguai,33,AM,Direito,168,40,2691,1.81,60.1,0.16,0.09,0.18,0.08,4.38,3.22,1.18,3.7,0.55,0.54,0.89,45.0,45.5,0.94,0.64,2.35,4.4
38,André Torres,Coritiba,Brasil Série B,Equador,28,CB,Direito,183,10,880,1.64,54.5,0.0,0.04,0.0,0.03,3.12,1.81,0.4,2.63,1.63,0.49,2.46,41.4,49.5,0.14,0.58,7.66,3.18
39,Pedro Rodríguez,Novorizontino,Brasil Série B,Equador,31,ST,Direito,182,37,2713,1.96,63.5,0.39,0.1,0.35,0.08,3.46,2.87,0.53,3.87,0.19,0.42,1.25,55.4,46.5,2.19,2.17,6.11,4.37
40,André Fernández,Coritiba,Brasil Série B,Argentina,31,FB,Direito,179,19,1654,1.64,54.8,0.1,0.06,0.09,0.07,3.49,2.92,1.16,5.69,1.27,1.53,2.94,49.9,48.4,0.67,0.7,6.15,2.56
41,Miguel Díaz,CRB,Brasil Série B,Brasil,18,AM,Direito,170,34,3078,2.83,61.9,0.3,0.18,0.38,0.16,5.28,3.44,1.45,5.35,0.27,0.7,0.43,42.6,49.7,1.9,1.88,4.13,3.33
42,Lucas Souza,Goiás,Brasil Série B,Colômbia,19,GK,Direito,192,13,1050,0.52,45.8,0.01,0.0,0.01,0.0,1.69,0.1,0.0,1.63,1.43,1.66,3.06,56.8,50.7,0.04,0.06,6.73,3.92
43,Caio Souza,Coritiba,Brasil Série B,Brasil,20,CB,Direito,185,10,914,1.76,57.5,0.1,0.07,0.11,0.06,3.4,2.12,0.82,0.99,1.52,1.2,3.6,52.6,46.7,0.0,0.05,12.06,4.14
44,Miguel Silva,Goiás,Brasil Série B,Brasil,25,W,Direito,171,18,1373,1.29,59.0,0.29,0.1,0.3,0.11,5.59,3.6,0.94,4.71,0.9,0.76,1.39,52.6,48.0,1.79,1.9,8.31,5.3
45,Thiago Costa,Cuiabá,Brasil Série B,Paraguai,19,CB,Direito,188,9,806,1.79,60.4,0.0,0.01,0.0,0.01,3.5,1.47,0.31,1.96,0.66,0.83,1.93,42.2,44.9,0.82,0.22,8.56,3.3
46,Rodrigo Santos,Novorizontino,Brasil Série B,Argentina,23,CB,Direito,189,33,2573,1.92,65.0,0.07,0.02,0.05,0.02,3.7,3.01,0.76,1.98,2.55,1.35,4.35,53.6,51.8,0.0,0.24,5.84,3.64
47,Nicolás Mendoza,Cuiabá,Brasil Série B,Argentina,26,DM,Direito,180,10,700,2.16,64.4,0.1,0.14,0.11,0.16,4.76,2.86,1.09,4.44,2.44,2.13,5.09,53.4,53.6,0.26,0.61,8.76,4.2
48,Nicolás Oliveira,Coritiba,Brasil Série B,Brasil,31,W,Direito,178,34,2931,3.12,63.4,0.42,0.22,0.35,0.25,5.16,4.98,1.98,5.13,0.84,0.49,1.45,48.4,34.5,2.96,2.53,7.1,2.64
49,Bruno Benítez,Goiás,Brasil Série B,Uruguai,19,W,Esquerdo,172,16,1203,4.05,68.1,0.35,0.22,0.35,0.24,5.96,4.37,1.71,5.01,1.12,1.07,2.15,41.7,44.1,2.95,1.55,5.65,4.65
50,Bruno Santos,Goiás,Brasil Série B,Brasil,19,DM,Direito,174,12,804,1.57,63.4,0.02,0.17,0.01,0.19,4.36,2.38,0.58,3.61,1.09,1.27,4.06,52.8,45.6,0.14,0.27,6.29,3.0
51,Gabriel Oliveira,CRB,Brasil Série B,Brasil,28,CB,Direito,176,33,2748,1.16,56.9,0.07,0.05,0.09,0.04,2.7,1.74,0.31,2.41,1.7,1.24,0.52,47.6,46.7,0.0,0.21,6.79,2.4
52,Thiago Souza,CRB,Brasil Série B,Brasil,27,ST,Esquerdo,181,34,2618,4.18,69.8,0.25,0.13,0.19,0.11,3.28,2.02,0.88,3.57,0.8,0.44,1.4,43.7,63.3,0.55,2.38,7.1,3.78
53,Rafael Pereira,Novorizontino,Brasil Série B,Argentina,27,CB,Esquerdo,183,16,1299,2.02,62.6,0.08,0.08,0.09,0.06,2.56,1.11,0.11,1.24,1.56,1.1,2.53,38.7,43.7,0.71,0.05,6.69,2.22
54,Juan Gómez,Avaí,Brasil Série B,Equador,33,GK,Direito,200,32,2572,1.53,59.2,0.09,0.01,0.1,0.01,3.08,1.13,0.35,1.29,1.3,1.35,3.62,51.4,43.4,0.0,0.05,3.78,2.95
55,Bruno Castro,Goiás,Brasil Série B,Brasil,30,ST,Direito,181,12,859,1.43,63.4,0.34,0.09,0.39,0.1,2.99,2.84,0.34,3.57,0.62,0.25,1.05,42.7,46.4,1.12,1.5,5.39,3.61
56,Thiago Rojas,Coritiba,Brasil Série B,Argentina,21,DM,Direito,181,28,2355,3.29,69.8,0.13,0.14,0.12,0.12,4.18,2.95,1.17,3.99,3.14,1.96,3.92,52.4,40.7,0.57,0.66,10.98,3.87
57,Lucas Ramírez,Avaí,Brasil Série B,Brasil,28,CM,Esquerdo,176,39,2667,1.1,58.9,0.15,0.03,0.18,0.04,3.61,3.01,0.9,3.67,1.39,0.63,0.67,44.1,46.7,0.93,0.11,3.47,3.22
58,João Vieira,Cuiabá,Brasil Série B,Brasil,21,ST,Direito,171,30,2488,2.19,56.6,0.15,0.03,0.19,0.02,3.21,0.66,0.44,2.51,0.47,0.27,0.4,39.0,46.9,1.34,0.42,3.63,5.01
59,Rafael Santos,Novorizontino,Brasil Série B,Brasil,20,CB,Direito,182,13,968,1.52,54.9,0.0,0.03,0.0,0.03,2.83,1.66,0.34,3.35,0.87,0.93,3.04,54.3,40.9,0.0,0.66,5.94,3.17
60,Thiago Pereira,CRB,Brasil Série B,Argentina,22,DM,Direito,182,34,2914,2.14,54.5,0.05,0.12,0.05,0.14,5.17,3.07,1.08,2.0,2.48,1.57,4.29,48.3,45.7,0.56,0.51,8.76,3.88
61,Matías Benítez,Goiás,Brasil Série B,Brasil,27,W,Esquerdo,175,17,1212,3.37,59.6,0.16,0.08,0.16,0.08,2.95,1.91,1.04,3.82,0.31,0.27,0.4,46.1,32.0,1.47,0.98,6.65,3.47
62,Facundo Torres,CRB,Brasil Série B,Colômbia,19,W,Esquerdo,167,23,2041,1.49,61.3,0.28,0.14,0.26,0.15,5.19,3.0,1.14,3.69,0.38,0.41,2.13,43.7,45.9,1.55,1.64,4.91,4.65
63,Juan Fernández,Goiás,Brasil Série B,Brasil,24,CM,Direito,173,35,2515,1.29,56.4,0.09,0.03,0.1,0.03,1.49,2.1,1.09,2.84,0.77,0.8,1.18,43.6,31.0,0.86,0.44,1.84,3.64
64,Matías Díaz,Cuiabá,Brasil Série B,Colômbia,21,ST,Direito,187,10,682,1.7,60.3,0.19,0.06,0.2,0.07,2.78,1.58,0.11,2.39,0.7,0.1,0.61,40.9,47.9,0.69,1.81,4.11,3.51
65,Santiago Almeida,Cuiabá,Brasil Série B,Paraguai,28,AM,Direito,176,39,2860,1.34,62.1,0.25,0.16,0.27,0.17,3.34,2.77,0.84,3.99,0.35,0.14,0.45,44.7,36.4,1.71,0.87,8.17,3.75
66,Tomás Fernández,Goiás,Brasil Série B,Uruguai,27,CM,Direito,177,46,3096,1.92,60.8,0.03,0.1,0.03,0.1,5.49,2.3,1.21,5.25,0.66,0.95,2.52,48.0,36.9,0.83,0.77,5.95,3.23
67,Bruno Benítez,CRB,Brasil Série B,Chile,21,CB,Direito,180,37,2850,4.14,62.3,0.1,0.0,0.08,0.0,3.24,2.16,0.32,3.13,2.27,1.62,3.52,44.8,57.5,0.8,0.52,6.76,3.46
68,Miguel Castro,Cuiabá,Brasil Série B,Equador,32,CM,Direito,170,8,663,1.67,64.7,0.14,0.2,0.13,0.18,4.83,3.87,0.8,3.72,0.57,0.99,1.75,47.9,49.7,0.7,1.0,5.91,3.97
69,Facundo Silva,Racing,Argentina,Uruguai,28,DM,Direito,180,24,1623,2.96,68.7,0.12,0.12,0.1,0.14,4.6,3.52,1.15,3.6,2.02,1.37,3.6,47.7,55.4,1.48,1.11,7.27,3.66
70,Tomás Fernández,Lanús,Argentina,Brasil,25,W,Esquerdo,179,15,1037,2.05,63.2,0.14,0.03,0.11,0.02,3.0,3.02,0.82,3.26,0.37,0.73,1.44,44.8,44.8,0.83,1.21,4.18,3.84
71,André Rodríguez,Lanús,Argentina,Paraguai,25,CM,Direito,170,19,1555,1.66,61.6,0.06,0.08,0.07,0.09,5.15,2.93,0.72,3.82,0.76,1.09,2.55,41.6,43.3,0.46,1.25,3.51,4.53
72,Gabriel Torres,Racing,Argentina,Brasil,27,ST,Direito,186,28,1887,2.06,55.1,0.18,0.03,0.18,0.03,3.08,0.72,0.33,2.98,0.1,0.56,0.4,43.2,45.0,1.02,1.15,3.15,4.15
73,Rodrigo Souza,Racing,Argentina,Brasil,22,CM,Esquerdo,176,18,1191,4.04,68.1,0.14,0.22,0.11,0.17,7.22,4.69,1.63,5.36,1.75,1.25,2.82,50.9,50.3,1.0,0.96,6.58,3.8
74,Rodrigo Benítez,Rosario Central,Argentina,Brasil,30,ST,Direito,176,46,3055,2.22,60.1,0.25,0.07,0.23,0.09,2.89,1.16,0.81,3.31,0.1,0.82,1.18,44.4,56.2,1.04,1.4,2.66,4.65
75,Lucas Oliveira,Vélez,Argentina,Brasil,20,DM,Direito,185,14,1190,4.0,63.9,0.06,0.15,0.05,0.13,3.98,2.95,0.96,3.26,2.22,1.15,3.72,56.5,52.8,1.44,0.24,6.03,2.63
76,Tomás Santos,Racing,Argentina,Brasil,23,CB,Direito,175,33,2247,2.31,58.9,0.03,0.0,0.03,0.0,2.51,3.32,0.56,3.09,2.1,1.64,4.76,54.7,58.4,0.12,0.21,7.08,1.87
77,Pedro Ramírez,River Plate,Argentina,Chile,23,FB,Esquerdo,183,10,687,1.32,59.8,0.09,0.11,0.11,0.11,2.99,1.74,0.72,3.24,1.28,0.85,2.51,48.5,47.9,0.9,0.19,2.16,4.32
78,Matías Benítez,Racing,Argentina,Paraguai,18,W,Esquerdo,175,19,1372,5.74,65.6,0.3,0.19,0.26,0.18,4.99,3.66,1.31,5.1,1.05,0.75,1.51,43.3,43.4,1.92,1.72,8.75,3.81
79,João Rojas,Vélez,Argentina,Argentina,20,W,Direito,169,10,826,4.43,67.3,0.32,0.22,0.28,0.27,7.48,4.2,1.24,4.82,0.53,0.92,1.42,47.5,43.2,2.5,1.53,4.4,4.26
80,Enzo Vieira,Rosario Central,Argentina,Colômbia,29,ST,Esquerdo,182,29,2474,1.33,61.9,0.36,0.14,0.29,0.17,3.14,2.02,0.5,2.66,0.48,0.1,1.3,45.6,54.7,1.6,2.18,4.55,5.57
81,Rodrigo Ramírez,Lanús,Argentina,Argentina,33,FB,Direito,171,18,1426,2.18,65.1,0.09,0.08,0.08,0.08,3.45,3.17,1.01,4.04,1.5,1.21,3.27,52.7,51.0,1.32,0.7,7.49,3.66
82,André Pereira,Racing,Argentina,Brasil,33,CB,Esquerdo,181,30,2316,1.63,57.2,0.0,0.05,0.0,0.05,2.33,1.11,0.42,2.57,1.81,1.84,3.21,53.2,45.5,0.0,0.8,5.29,2.43
83,João Santos,Racing,Argentina,Colômbia,21,CM,Direito,174,17,1265,3.16,60.3,0.04,0.08,0.03,0.09,3.36,2.7,1.1,2.33,1.38,0.45,2.13,48.9,50.1,1.09,0.05,3.89,3.65
84,Matías Oliveira,Racing,Argentina,Colômbia,20,GK,Direito,202,40,2975,4.62,62.0,0.03,0.0,0.02,0.0,1.68,0.1,0.46,1.92,2.57,1.75,4.42,56.1,57.7,1.17,0.46,6.43,3.15
85,Pedro Almeida,Vélez,Argentina,Brasil,19,W,Direito,162,10,685,4.46,71.0,0.17,0.01,0.18,0.01,4.01,4.13,1.03,5.15,0.71,0.71,1.35,51.1,42.3,1.79,1.44,3.9,4.37
86,Martín Torres,River Plate,Argentina,Argentina,23,CB,Direito,189,32,2586,1.74,58.4,0.1,0.02,0.09,0.02,3.29,1.82,0.47,4.64,2.3,1.82,4.31,59.5,53.2,0.0,0.24,9.57,2.47
87,Caio Mendoza,River Plate,Argentina,Colômbia,25,W,Direito,173,33,2815,2.57,64.9,0.12,0.08,0.11,0.09,3.9,1.1,0.43,3.23,1.2,0.65,1.27,42.3,35.6,1.17,0.28,1.84,4.06
88,Tomás Santos,Talleres,Argentina,Uruguai,19,W,Direito,169,35,2813,4.28,66.0,0.25,0.1,0.26,0.11,5.12,2.92,0.53,4.72,0.1,0.56,0.64,40.9,39.8,1.44,1.08,5.18,3.86
89,Facundo Torres,Rosario Central,Argentina,Brasil,19,CB,Direito,180,15,1173,2.66,62.2,0.0,0.0,0.0,0.0,0.99,1.72,0.51,1.44,0.54,0.75,0.4,39.0,42.7,0.85,0.05,3.32,3.74
90,André Díaz,Vélez,Argentina,Brasil,21,DM,Direito,170,31,2666,2.35,57.1,0.07,0.11,0.09,0.13,3.78,1.59,0.74,3.56,2.24,0.91,2.25,52.8,50.3,0.07,0.22,6.58,2.73
91,João Martínez,Racing,Argentina,Argentina,23,CB,Direito,190,39,2667,1.73,52.7,0.0,0.01,0.0,0.01,3.07,1.56,0.19,2.0,1.46,1.19,2.0,49.9,38.6,0.24,0.47,5.16,4.14
92,Thiago López,Vélez,Argentina,Brasil,18,FB,Direito,177,34,2650,4.69,62.6,0.15,0.07,0.14,0.07,4.95,4.16,0.82,2.23,1.31,1.49,3.18,51.7,51.5,0.9,1.1,8.28,4.31
93,Tomás Oliveira,Vélez,Argentina,Brasil,24,ST,Esquerdo,185,6,491,3.07,59.0,0.35,0.1,0.37,0.11,4.57,1.99,0.17,4.48,0.74,0.36,0.73,49.2,47.6,1.74,1.89,4.78,4.38
94,Diego Rojas,Rosario Central,Argentina,Argentina,19,DM,Direito,182,35,2666,6.92,66.1,0.05,0.08,0.06,0.07,4.42,1.72,0.7,3.15,1.03,1.45,3.1,43.8,53.0,1.17,1.0,8.15,3.25
95,Matías Benítez,Racing,Argentina,Chile,18,FB,Direito,171,17,1214,2.92,65.0,0.2,0.13,0.22,0.13,4.11,2.65,1.3,5.1,1.4,1.61,3.26,53.5,50.1,1.26,0.81,10.14,3.58
96,Facundo Ramírez,Talleres,Argentina,Brasil,24,ST,Esquerdo,190,12,1003,2.3,65.5,0.33,0.15,0.31,0.14,4.7,2.03,0.53,3.45,0.92,0.11,0.4,49.0,50.6,1.27,1.49,4.54,4.29
97,Nicolás Rodríguez,Vélez,Argentina,Uruguai,19,CB,Esquerdo,180,27,1994,3.93,67.4,0.14,0.04,0.12,0.04,3.23,2.58,0.58,3.85,3.01,1.88,4.77,59.6,55.9,0.55,0.36,9.3,2.48
98,João Rojas,Vélez,Argentina,Brasil,20,FB,Direito,183,31,2642,3.06,65.2,0.09,0.06,0.07,0.06,3.44,2.59,0.42,2.8,1.07,0.51,2.0,49.4,42.7,0.38,0.52,4.47,3.81
99,Rafael Gómez,Lanús,Argentina,Brasil,33,CM,Esquerdo,178,8,696,2.01,66.5,0.18,0.22,0.2,0.18,5.81,3.01,1.4,6.3,0.92,0.86,2.4,51.0,46.6,1.97,1.47,8.66,3.65
100,Juan Torres,Rosario Central,Argentina,Brasil,23,AM,Direito,168,6,596,2.27,60.0,0.24,0.17,0.19,0.19,4.0,3.24,1.44,5.4,0.78,0.84,0.71,46.9,50.1,0.75,1.56,4.1,3.8
101,Pedro Costa,River Plate,Argentina,Brasil,19,W,Direito,178,25,1986,4.8,62.7,0.18,0.12,0.22,0.12,3.84,3.42,0.84,3.07,0.99,0.81,1.84,43.8,41.3,1.95,1.48,3.85,3.15
102,Rodrigo Díaz,Racing,Argentina,Brasil,32,ST,Esquerdo,183,36,3031,2.27,58.9,0.32,0.06,0.35,0.06,4.37,2.97,1.0,3.93,0.53,0.42,0.91,56.1,55.9,1.19,2.24,3.88,5.2
103,Martín Rodríguez,Peñarol,Uruguai,Brasil,22,DM,Direito,180,19,1592,1.6,65.1,0.1,0.09,0.11,0.09,5.67,3.98,0.95,4.63,2.22,1.79,5.22,59.7,48.1,0.2,0.7,13.19,2.08
104,Matías Costa,Boston River,Uruguai,Brasil,22,CB,Direito,191,12,966,2.44,62.5,0.1,0.0,0.08,0.0,2.89,2.37,0.48,4.17,2.96,1.28,5.84,51.6,61.4,0.71,0.05,10.28,2.99
105,Santiago Rojas,Liverpool-URU,Uruguai,Argentina,24,GK,Esquerdo,192,37,2895,1.63,65.6,0.0,0.0,0.0,0.0,1.61,1.68,0.43,1.91,1.02,1.44,2.43,50.1,46.0,0.0,0.05,6.2,2.41
106,Nicolás López,Nacional,Uruguai,Paraguai,21,DM,Esquerdo,176,35,2405,1.87,58.6,0.05,0.0,0.04,0.0,2.12,1.86,0.46,3.15,1.18,1.02,1.74,48.5,46.2,0.31,0.11,3.49,2.73
107,Tomás Rodríguez,Liverpool-URU,Uruguai,Argentina,29,CB,Direito,179,28,2019,3.91,63.2,0.08,0.02,0.08,0.02,2.4,1.44,0.35,3.2,1.51,0.81,3.17,48.7,59.5,0.15,0.05,6.78,4.22
108,Juan Costa,Defensor,Uruguai,Brasil,18,W,Direito,179,40,2909,3.18,64.3,0.31,0.12,0.34,0.1,6.15,4.64,1.67,4.75,0.1,0.16,2.47,45.3,39.8,2.94,2.25,6.0,3.95
109,Martín Martínez,Nacional,Uruguai,Colômbia,27,CB,Direito,182,18,1314,1.96,62.2,0.0,0.0,0.0,0.0,3.13,2.02,0.88,1.67,1.75,1.43,2.9,52.3,44.2,0.88,0.05,10.38,3.04
110,Caio Torres,Boston River,Uruguai,Chile,32,AM,Direito,167,31,2253,1.93,66.1,0.3,0.15,0.34,0.16,4.15,3.18,1.69,5.12,1.14,0.68,2.21,45.5,55.1,1.23,1.09,2.7,5.42
111,Thiago Fernández,Peñarol,Uruguai,Colômbia,28,ST,Direito,185,17,1344,2.53,61.9,0.34,0.12,0.28,0.13,3.59,2.65,1.03,3.2,0.42,0.78,1.43,37.5,47.5,2.23,2.29,4.44,4.19
112,Rafael Mendoza,Boston River,Uruguai,Argentina,33,FB,Esquerdo,172,33,2332,1.45,61.9,0.13,0.11,0.15,0.12,5.44,3.06,0.73,3.71,1.76,1.19,3.5,53.9,51.9,1.45,1.11,6.36,2.85
113,Lucas Pereira,Boston River,Uruguai,Paraguai,22,GK,Direito,184,28,2361,1.28,58.9,0.03,0.01,0.03,0.01,2.65,2.58,0.0,2.64,2.97,1.77,5.95,63.8,55.2,0.03,0.05,9.76,3.51
